Symbol,Company,Earnings Date,Time,Price,Exchange,%Today
MDT,Medtronic plc.,01-09-26,Before Market,91.23,NYSE,+2.31%
GME,GameStop Corporation,01-09-26,After Market,17.87,NYSE,-0.26%
CRDO,Credo Technology Group Holding ,01-09-26,After Market,232.75,NASDAQ,-18.98%
DELL,Dell Technologies Inc.,01-09-26,After Market,456.24,NYSE,+7.93%
GTLB,GitLab Inc.,01-09-26,After Market,44.87,NASDAQ,+12.66%
MDB,MongoDB Inc.,01-09-26,After Market,446.62,NASDAQ,-11.91%
PANW,Palo Alto Networks Inc.,01-09-26,After Market,371.59,NASDAQ,-10.49%
OLLI,Ollie's Bargain Outlet Holdings,02-09-26,Before Market,72.42,NASDAQ,+4.60%
AGX,Argan Inc.,02-09-26,After Market,417.74,NYSE,+2.17%
AVGO,Broadcom Inc.,02-09-26,After Market,368.79,NASDAQ,-5.04%
FIVE,Five Below Inc.,02-09-26,After Market,241.89,NASDAQ,+5.32%
HPE,Hewlett Packard Enterprise Comp,02-09-26,After Market,52.31,NYSE,-9.51%
NTAP,NetApp Inc.,02-09-26,After Market,187.02,NASDAQ,-8.27%
NTSK,Netskope Inc.,02-09-26,After Market,15.09,NASDAQ,+11.85%
PVH,PVH Corp.,02-09-26,After Market,75.79,NYSE,+5.29%
SNOW,Snowflake Inc.,02-09-26,After Market,328.0,NYSE,+23.88%
CIEN,Ciena Corporation,03-09-26,Before Market,378.44,NYSE,-1.89%
CPB,The Campbell's Company,03-09-26,Before Market,23.39,NASDAQ,-5.42%
VSXY,Victorias Secret & Co.,03-09-26,Before Market,87.85,NYSE,-11.15%
CPRT,Copart Inc.,03-09-26,After Market,32.99,NASDAQ,
DOCU,DocuSign Inc.,03-09-26,After Market,64.0,NASDAQ,
GWRE,Guidewire Software Inc.,03-09-26,After Market,205.85,NYSE,
IOT,Samsara Inc.,03-09-26,After Market,41.16,NYSE,
LULU,lululemon athletica inc.,03-09-26,After Market,120.81,NASDAQ,
PATH,UiPath Inc.,03-09-26,After Market,18.15,NYSE,
PL,Planet Labs PBC,03-09-26,After Market,19.98,NYSE,
ZS,Zscaler Inc.,03-09-26,After Market,184.23,NASDAQ,
KFY,Korn Ferry,04-09-26,Before Market,86.28,NYSE,
