Symbol,Company,Earnings Date,Time,Price,6M %Change,Exchange,%Today
MAR,Marriott International,03-08-26,Before Market,372.83,17.22%,NASDAQ,-7.52%
FANG,Diamondback Energy Inc.,03-08-26,After Market,202.95,29.40%,NASDAQ,-3.52%
OKE,ONEOK Inc.,03-08-26,After Market,90.81,22.01%,NYSE,-2.45%
PLTR,Palantir Technologies Inc.,03-08-26,After Market,123.06,-16.72%,NASDAQ,+28.27%
UCTT,Ultra Clean Holdings Inc.,03-08-26,After Market,83.31,80.83%,NASDAQ,-1.95%
VRTX,Vertex Pharmaceuticals Incorpor,03-08-26,After Market,477.1,1.08%,NASDAQ,+1.74%
WMB,Williams Companies Inc. ,03-08-26,After Market,71.54,9.42%,NYSE,+2.61%
AME,AMETEK Inc.,04-08-26,Before Market,241.71,6.47%,NYSE,+1.79%
CAT,Caterpillar Inc.,04-08-26,Before Market,814.81,18.38%,NYSE,+6.56%
CMI,Cummins Inc.,04-08-26,Before Market,634.2,7.26%,NYSE,-3.58%
DOCN,DigitalOcean Holdings Inc.,04-08-26,Before Market,117.5,96.46%,NYSE,+0.39%
DUK,Duke Energy Corporation,04-08-26,Before Market,125.43,6.78%,NYSE,-0.15%
ET,Energy Transfer LP,04-08-26,Before Market,20.36,16.32%,NYSE,+1.13%
HUT,Hut 8 Corp.,04-08-26,Before Market,107.63,91.58%,NASDAQ,-5.91%
MCD,McDonald's Corporation,04-08-26,Before Market,270.64,-13.98%,NYSE,+0.96%
MPC,Marathon Petroleum Corporation,04-08-26,Before Market,316.47,80.47%,NYSE,+2.08%
MRK,Merck & Company Inc.,04-08-26,Before Market,130.2,16.53%,NYSE,+1.24%
PFE,Pfizer Inc.,04-08-26,Before Market,25.01,-2.97%,NYSE,+2.02%
ROK,Rockwell Automation Inc.,04-08-26,Before Market,480.08,12.60%,NYSE,-7.94%
SPOT,Spotify Technology S.A.,04-08-26,Before Market,499.94,-1.70%,NYSE,-2.27%
TM,Toyota Motor Corporation,04-08-26,Before Market,188.99,-18.39%,NYSE,+1.84%
ALAB,Astera Labs Inc.,04-08-26,After Market,311.23,104.17%,NASDAQ,-8.31%
AMD,Advanced Micro Devices Inc.,04-08-26,After Market,476.15,93.34%,NASDAQ,-5.37%
AMGN,Amgen Inc.,04-08-26,After Market,385.16,13.37%,NASDAQ,+5.03%
ANET,Arista Networks Inc.,04-08-26,After Market,180.35,30.34%,NYSE,+4.54%
BKNG,Booking Holdings Inc. Common St,04-08-26,After Market,192.9,-5.40%,NASDAQ,+5.72%
DVA,DaVita Inc.,04-08-26,After Market,240.09,115.93%,NYSE,-17.93%
DVN,Devon Energy Corporation,04-08-26,After Market,45.13,13.82%,NYSE,-2.85%
EMR,Emerson Electric Company,04-08-26,After Market,149.82,1.60%,NYSE,+3.47%
EOG,EOG Resources Inc.,04-08-26,After Market,148.69,39.25%,NYSE,-5.64%
GILD,Gilead Sciences Inc.,04-08-26,After Market,130.21,-7.75%,NASDAQ,-3.27%
VSAT,ViaSat Inc.,04-08-26,After Market,76.93,75.84%,NASDAQ,-4.86%
CVS,CVS Health Corporation,05-08-26,Before Market,104.43,40.54%,NYSE,-5.28%
DIS,Walt Disney Company ,05-08-26,Before Market,96.19,-7.20%,NYSE,+1.84%
EXTR,Extreme Networks Inc.,05-08-26,Before Market,30.14,103.79%,NASDAQ,-18.52%
LLY,Eli Lilly and Company,05-08-26,Before Market,1148.84,10.40%,NYSE,+4.41%
MDLN,Medline Inc.,05-08-26,Before Market,39.28,-12.75%,NASDAQ,-16.92%
NVO,Novo Nordisk,05-08-26,Before Market,47.08,-17.18%,NYSE,+2.07%
PSX,Phillips 66,05-08-26,Before Market,211.68,51.13%,NYSE,-1.73%
SHOP,Shopify Inc.,05-08-26,Before Market,117.15,-11.38%,NASDAQ,+16.42%
UBER,Uber Technologies Inc.,05-08-26,Before Market,70.36,-12.96%,NYSE,-6.82%
VSH,Vishay Intertechnology Inc.,05-08-26,Before Market,34.22,66.78%,NYSE,-8.78%
YOU,Clear Secure Inc.,05-08-26,Before Market,55.24,70.65%,NYSE,+4.93%
ALL,Allstate Corporation ,05-08-26,After Market,264.08,32.90%,NYSE,+2.49%
APP,Applovin Corporation,05-08-26,After Market,395.9,-18.03%,NASDAQ,-16.29%
BLLN,BillionToOne Inc.,05-08-26,After Market,138.6,65.87%,NASDAQ,-34.62%
CGNX,Cognex Corporation,05-08-26,After Market,65.24,64.55%,NASDAQ,+0.78%
DASH,DoorDash Inc.,05-08-26,After Market,196.16,-5.54%,NASDAQ,+2.47%
DAVE,Dave Inc.,05-08-26,After Market,372.69,113.29%,NASDAQ,-9.78%
EBAY,eBay Inc.,05-08-26,After Market,114.01,22.32%,NASDAQ,-2.33%
MCK,McKesson Corporation,05-08-26,After Market,856.19,1.34%,NYSE,+3.63%
MELI,MercadoLibre Inc.,05-08-26,After Market,1877.95,-12.54%,NASDAQ,-6.04%
MET,MetLife Inc.,05-08-26,After Market,96.13,22.21%,NYSE,+2.27%
MSI,Motorola Solutions Inc.,05-08-26,After Market,435.75,8.55%,NYSE,+9.49%
O,Realty Income Corporation,05-08-26,After Market,63.87,8.27%,NYSE,+1.17%
OXY,Occidental Petroleum Corporatio,05-08-26,After Market,57.07,31.52%,NYSE,+5.43%
SNDK,Sandisk Corporation,05-08-26,After Market,1214.83,82.62%,NASDAQ,-12.38%
WDC,Western Digital Corporation,05-08-26,After Market,544.84,101.77%,NASDAQ,-20.02%
CEG,Constellation Energy Corporatio,06-08-26,Before Market,262.75,-2.72%,NASDAQ,+3.40%
COP,ConocoPhillips,06-08-26,Before Market,120.48,20.17%,NYSE,+2.74%
DDOG,Datadog Inc.,06-08-26,Before Market,267.97,107.65%,NASDAQ,-17.87%
