tag,category,subcategory,no
masterpiece,quality,Score,1
score_9,quality,Score,1
score_8_up,quality,Score,1
score_7_up,quality,Score,1
score_6_up,quality,Score,1
score_5_up,quality,Score,1
score_4_up,quality,Score,1
score 9,quality,score,1
score 8 up,quality,score,1
score 7 up,quality,score,1
score 6 up,quality,score,1
score 5 up,quality,score,1
score 4 up,quality,score,1
high detailed,quality,qc,1
high quality,quality,qc,1
best quality,quality,qc,1
amazing quality,quality,qc,1
insanely detailed,quality,qc,1
ultra detailed,quality,qc,1
high definition,quality,qc,1
very aesthetic,quality,qc,1
very awa,quality,qc,1
beautiful,quality,qc,1
perfect anatomy,quality,qc,1
correct anatomy,quality,qc,1
detailed eyes,quality,qc,1
highly detailed,quality,qc,1
very beautiful,quality,qc,1
very artistic,quality,qc,1
extremely aesthetic,quality,qc,1
beautiful detailed eyes,quality,qc,1
detailed clothes,quality,qc,1
detailed iris,quality,qc,1
detailed lace,quality,qc,1
high detail eyes,quality,qc,1
highly aesthetic,quality,qc,1
perfect body,quality,qc,1
perfect eyes,quality,qc,1
perfect face,quality,qc,1
hires,quality,size,1
absurdres,quality,size,1
increadibly absurdres,quality,size,1
highres,quality,size,1
high resolution,quality,size,1
4K,quality,size,1
8K,quality,size,1
sfw,quality,,1
general,quality,,1
sensitive,quality,,1
explicit,quality,,1
uncensored,quality,,1
nsfw,quality,,1
hetero,quality,,1
2d,style,art,2
3d,style,art,2
abstract,style,art,2
art deco,style,art,2
art nouveau,style,art,2
fake photograph,style,art,2
fine art parody,style,art,2
flame painter,style,art,2
impressionism,style,art,2
ligne claire,style,art,2
minimalism,style,art,2
nihonga,style,art,2
sumi-e,style,art,2
ukiyo-e,style,art,2
painterly,style,art,2
realistic,style,art,2
photorealistic,style,art,2
sketch,style,art,2
blingee,style,art,2
cave paintings,style,art,2
cubism,style,art,2
cyber sigilism,style,art,2
emo art,style,art,2
faux retro artstyle,style,art,2
glitch art,style,art,2
low poly,style,art,2
surreal,style,art,2
pixel art,style,art,2
chibi,style,art,2
watercolor,style,art,2
gamecg,style,art,2
super fine illustration,style,art,2
monochrome,style,art,2
greyscale,style,art,2
retro art style,style,art,2
pc-98,style,art,2
parody,style,art,2
unstylized,style,art,2
mixed,style,art,2
anime style,style,art,2
realistic skin texture,style,art,2
2d image,style,art,2
anime coloring,style,art,2
anime eyes,style,art,2
clear lines,style,art,2
flat color,style,art,2
flat color style,style,art,2
simple coloring,style,art,2
simple coloring style,style,art,2
sketch style,style,art,2
vivid colors,style,art,2
2020s,style,art,2
2010s,style,art,2
2000s,style,art,2
1980s,style,art,2
newest,style,art,2
modern,style,art,2
recent,style,art,2
old,style,art,2
photo,style,medium,2
anime screencap,style,medium,2
anime screenshot,style,medium,2
easytoon,style,medium,2
artbook,style,medium,2
calendar (medium),style,medium,2
card (medium),style,medium,2
comic,style,medium,2
1koma,style,medium,2
2koma,style,medium,2
3koma,style,medium,2
4koma,style,medium,2
multiple 4koma,style,medium,2
5koma,style,medium,2
borderless panels,style,medium,2
manga,style,medium,2
silent comic,style,medium,2
cover,style,medium,2
album cover,style,medium,2
character single,style,medium,2
cover page,style,medium,2
doujin cover,style,medium,2
dvd cover,style,medium,2
magazine cover,style,medium,2
manga cover,style,medium,2
video game cover,style,medium,2
game screenshot,style,medium,2
icon,style,medium,2
logo,style,medium,2
kirigami,style,medium,2
lineart,style,medium,2
outline,style,medium,2
mosaic art,style,medium,2
photomosaic,style,medium,2
oekaki,style,medium,2
official art,style,medium,2
phonecard,style,medium,2
papercraft,style,medium,2
paper child,style,medium,2
paper cutout,style,medium,2
postcard,style,medium,2
poster,style,medium,2
revision,style,medium,2
scan,style,medium,2
shitajiki,style,medium,2
tall image,style,medium,2
palody,style,medium,2
tegaki,style,medium,2
vector trace,style,medium,2
wallpaper,style,medium,2
official wallpaper,style,medium,2
tileable,style,medium,2
wallpaper forced,style,medium,2
widescreen,style,medium,2
wide image,style,medium,2
volumetric light,style,light effect,2
warm light,style,light effect,2
dim light filters,style,light effect,2
len flare,style,light effect,2
bokeh lighting,style,light effect,2
candlelight,style,light effect,2
cinematic lighting,style,light effect,2
deep shadows,style,light effect,2
diffused,style,light effect,2
diffused lighting,style,light effect,2
direct lighting,style,light effect,2
dramatic shadows,style,light effect,2
fairy lights,style,light effect,2
firelight,style,light effect,2
focused beam,style,light effect,2
golden hour lighting,style,light effect,2
high key,style,light effect,2
industrial lighting,style,light effect,2
low key lighting,style,light effect,2
minimal shadows,style,light effect,2
natural sunlight,style,light effect,2
natural window light,style,light effect,2
neon lighting,style,light effect,2
rainbow lighting,style,light effect,2
reflective lighting,style,light effect,2
rim lighting,style,light effect,2
streetlamp lighting,style,light effect,2
strobe lighting,style,light effect,2
studio lighting,style,light effect,2
twilight lighting,style,light effect,2
twinkling,style,light effect,2
sparkle,style,light effect,2
shadow,style,light effect,2
glowing,style,light effect,2
light blush,style,light effect,2
light particles,style,light effect,2
luxurious black gown,style,light effect,2
blending,style,,2
bloom,style,,2
bokeh,style,,2
caustics,style,,2
chiaroscuro,style,,2
heavy chromatic aberration,style,,2
diffraction spikes,style,,2
depth of field,style,,2
distortion,style,,2
dithering,style,,2
double exposure,style,,2
drop shadow,style,,2
emphasis lines,style,,2
film grain,style,,2
foreshortening,style,,2
gradient,style,,2
halftone,style,,2
ben-day dots,style,,2
linear hatching,style,,2
crosshatching,style,,2
woven hatching,style,,2
high contrast,style,,2
hue shifting,style,,2
heavy lens flare,style,,2
motion blur,style,,2
motion lines,style,,2
multiple monochrome,style,,2
optical illusion,style,,2
anaglyph,style,,2
stereogram,style,,2
