Symbol,Company,Price,%Change6M,Sector,Exchange,MarketCap,Stage
MXL,MaxLinear Inc.,66.82,278.7981973176017,Technology,NASDAQ,6060119040,Stage2
DELL,Dell Technologies Inc.,405.37,241.80613349548105,Technology,NYSE,261926748160,Stage2
SYRE,Spyre Therapeutics Inc.,98.33,200.24428040016699,Healthcare,NASDAQ,8539100672,Stage2
AXTI,AXT Inc.,60.43,188.58643153752607,Technology,NASDAQ,3953522944,Stage2
ORKA,Oruka Therapeutics Inc.,96.51,181.3702748773041,Healthcare,NASDAQ,5820721152,Stage2
CORT,Corcept Therapeutics Incorporated,114.49,181.23311333464892,Healthcare,NASDAQ,12376185856,Stage2
NAVN,Navan Inc.,26.62,146.70992523953444,Technology,NASDAQ,6770298368,Stage2
FSLY,Fastly Inc.,22.66,145.50380250530154,Technology,NASDAQ,3546289920,Stage2
SEZL,Sezzle Inc.,154.75,142.63092342709825,Financial Services,NASDAQ,5203781120,Stage2
IRDM,Iridium Communications Inc.,47.34,141.67338690438748,Communication Services,NASDAQ,5016164352,Stage2
BB,BlackBerry Limited,8.5,138.7640487815136,Technology,NYSE,4981853696,Stage2
DFTX,Definium Therapeutics Inc.,43.52,138.72738096857321,Healthcare,NASDAQ,5776986624,Stage2
MRVL,Marvell Technology Inc.,187.56,138.6221339754605,Technology,NASDAQ,168343437312,Stage2
DK,Delek US Holdings Inc.,67.87,137.5630118912934,Energy,NYSE,4159585792,Stage2
TXG,10x Genomics Inc.,47.27,136.9423491229925,Healthcare,NASDAQ,6001219072,Stage2
CHRN,ChronoScale Holdings Corporation,22.03,135.11206996488707,Technology,NASDAQ,3199082752,Stage2
RLAY,Relay Therapeutics Inc.,18.83,131.04295466337402,Healthcare,NASDAQ,4103816448,Stage2
PARR,Par Pacific Holdings Inc.,86.03,128.01484183160875,Energy,NYSE,4313911808,Stage2
TNGX,Tango Therapeutics Inc.,27.18,127.63820151075116,Healthcare,NASDAQ,4425302528,Stage2
PBF,PBF Energy Inc.,72.28,125.88145870567433,Energy,NYSE,8567843328,Stage2
ARM,Arm Holdings plc,239.69,124.1559915433802,Technology,NASDAQ,255988580352,Stage2
OSCR,Oscar Health Inc.,31.22,122.99999509538924,Healthcare,NYSE,9412611072,Stage2
HPE,Hewlett Packard Enterprise Company,47.9,119.67246899109534,Technology,NYSE,63429349376,Stage2
NBIS,Nebius Group N.V.,190.41,115.98230008235177,Communication Services,NASDAQ,48344756224,Stage2
DVA,DaVita Inc.,240.09,115.92768330445065,Healthcare,NYSE,15410176000,Stage2
AAOI,Applied Optoelectronics Inc.,94.32,113.58695656868672,Technology,NASDAQ,7568497664,Stage1
DAVE,Dave Inc.,372.69,113.29480430054566,Technology,NASDAQ,4738472960,Stage2
SIMO,Silicon Motion Technology Corporation,253.6,113.01877001905834,Technology,NASDAQ,8599027712,Stage2
HNGE,Hinge Health Inc.,74.71,112.06358233103235,Healthcare,NYSE,5781069312,Stage2
ANDG,Andersen Group Inc.,47.33,111.2003665922395,Consumer Cyclical,NYSE,5323950592,Unknown
RNG,RingCentral Inc.,55.62,111.14146759509092,Technology,NYSE,4664215552,Stage2
DDOG,Datadog Inc.,267.97,107.6481944082008,Technology,NASDAQ,95386656768,Stage2
APGE,Apogee Therapeutics Inc.,134.09,104.31205538547741,Healthcare,NASDAQ,10140801024,Stage2
ALAB,Astera Labs Inc.,311.23,104.16557727749736,Technology,NASDAQ,53347295232,Stage2
EXTR,Extreme Networks Inc.,30.14,103.78633852188477,Technology,NASDAQ,3941651456,Stage2
WDC,Western Digital Corporation,544.84,101.76993370744434,Technology,NASDAQ,187796635648,Stage2
DNTH,Dianthus Therapeutics Inc.,106.92,101.05302285705187,Healthcare,NASDAQ,5844913664,Stage2
FTNT,Fortinet Inc.,161.95,99.22499092666123,Technology,NASDAQ,118824927232,Stage2
STX,Seagate Technology Holdings plc,856.13,98.22956447981505,Technology,NASDAQ,194341502976,Stage2
DOCN,DigitalOcean Holdings Inc.,117.5,96.45543772294788,Technology,NYSE,13736700928,Stage2
HUM,Humana Inc.,363.86,95.81770356365318,Healthcare,NYSE,43692417024,Stage2
TWST,Twist Bioscience Corporation,91.55,95.57786875860823,Healthcare,NASDAQ,5700938752,Stage2
GEO,The GEO Group Inc.,30.89,95.01262053082571,Industrials,NYSE,4127468800,Stage2
ELVN,Enliven Therapeutics Inc.,54.81,94.5686944439009,Healthcare,NASDAQ,3915532288,Stage2
CLMT,Calumet Inc.,44.19,94.41266835309966,Basic Materials,NASDAQ,3851032064,Stage2
AMD,Advanced Micro Devices Inc.,476.15,93.34469713562663,Technology,NASDAQ,776410431488,Stage2
RVMD,Revolution Medicines Inc.,187.53,93.01151884623708,Healthcare,NASDAQ,39868215296,Stage2
UMC,United Microelectronics Corporation,19.03,92.87651048436798,Technology,NYSE,47725502464,Stage2
HUT,Hut 8 Corp.,107.63,91.58062774788233,Financial Services,NASDAQ,12118504448,Stage2
LQDA,Liquidia Corporation,84.11,90.25107973796024,Healthcare,NASDAQ,7479742464,Stage2
PANW,Palo Alto Networks Inc.,331.83,89.16314561392446,Technology,NASDAQ,270441431040,Stage2
MU,Micron Technology Inc.,823.03,88.10014311320283,Technology,NASDAQ,929524482048,Stage2
IESC,IES Holdings Inc.,744.54,85.56900846470691,Industrials,NASDAQ,14834130944,Stage2
INTC,Intel Corporation,90.2,84.79818563906025,Technology,NASDAQ,454968770560,Stage2
NTAP,NetApp Inc.,178.5,84.64931876270401,Technology,NASDAQ,35027816448,Stage2
VAC,Marriott Vacations Worldwide Corporation,97.51,83.28697798426258,Consumer Cyclical,NYSE,3348792320,Stage2
ASX,ASE Technology Holding Co. Ltd.,35.17,83.01799916407603,Technology,NYSE,77332340736,Stage2
STM,STMicroelectronics N.V.,52.39,82.82445903359876,Technology,NYSE,46725451776,Stage2
SNDK,Sandisk Corporation,1214.83,82.6152928098449,Technology,NASDAQ,179903873024,Stage2
CHEF,The Chefs' Warehouse Inc.,115.35,82.02619602078369,Consumer Defensive,NASDAQ,4705828352,Stage2
UCTT,Ultra Clean Holdings Inc.,83.31,80.83351011602741,Technology,NASDAQ,3734649856,Stage2
MPC,Marathon Petroleum Corporation,316.47,80.47021048876204,Energy,NYSE,92389187584,Stage2
DINO,HF Sinclair Corporation,91.47,79.39839249819522,Energy,NYSE,16261889024,Stage2
TGTX,TG Therapeutics Inc.,52.03,78.30705358172355,Healthcare,NASDAQ,7964938752,Stage2
QURE,uniQure N.V.,43.63,76.63967498162536,Healthcare,NASDAQ,3026456832,Stage2
VLO,Valero Energy Corporation,312.9,76.19121797416926,Energy,NYSE,90092503040,Stage2
